id_cliente,nome,email,data_primeira_compra,status_cliente,data_churn
CLI-00111,Cliente CLI-00111,user_l-00577@empresa.com,2025-02-23,Churned,2025-03-25
CLI-00112,Cliente CLI-00112,user_l-00578@empresa.com,2025-02-24,Churned,2025-10-22
CLI-00113,Cliente CLI-00113,user_l-00579@empresa.com,2025-02-17,Churned,2025-08-16
CLI-00114,Cliente CLI-00114,user_l-00582@empresa.com,2025-03-01,Churned,2025-07-29
CLI-00115,Cliente CLI-00115,user_l-00584@empresa.com,2025-03-09,Churned,2025-05-08
CLI-00116,Cliente CLI-00116,user_l-00585@empresa.com,2025-02-28,Churned,2025-06-28
CLI-00117,Cliente CLI-00117,user_l-00592@empresa.com,2025-02-14,Churned,2025-05-15
CLI-00118,Cliente CLI-00118,user_l-00600@empresa.com,2025-03-07,Churned,2025-08-04
CLI-00119,Cliente CLI-00119,user_l-00607@empresa.com,2025-03-10,Churned,2025-08-07
CLI-00120,Cliente CLI-00120,user_l-00613@empresa.com,2025-03-04,Churned,2025-07-02
CLI-00121,Cliente CLI-00121,user_l-00622@empresa.com,2025-03-08,Churned,2025-10-04
CLI-00122,Cliente CLI-00122,user_l-00635@empresa.com,2025-02-18,Churned,2025-08-17
CLI-00123,Cliente CLI-00123,user_l-00637@empresa.com,2025-03-07,Churned,2025-05-06
CLI-00124,Cliente CLI-00124,user_l-00638@empresa.com,2025-02-19,Churned,2025-07-19
CLI-00125,Cliente CLI-00125,user_l-00651@empresa.com,2025-02-13,Ativo,
CLI-00126,Cliente CLI-00126,user_l-00657@empresa.com,2025-02-23,Churned,2025-07-23
CLI-00127,Cliente CLI-00127,user_l-00662@empresa.com,2025-02-25,Churned,2025-03-27
CLI-00128,Cliente CLI-00128,user_l-00668@empresa.com,2025-02-28,Churned,2025-08-27
CLI-00129,Cliente CLI-00129,user_l-00669@empresa.com,2025-03-01,Churned,2025-07-29
CLI-00130,Cliente CLI-00130,user_l-00676@empresa.com,2025-03-09,Churned,2025-09-05
CLI-00131,Cliente CLI-00131,user_l-00684@empresa.com,2025-02-18,Churned,2025-04-19
CLI-00132,Cliente CLI-00132,user_l-00687@empresa.com,2025-02-23,Ativo,
CLI-00133,Cliente CLI-00133,user_l-00690@empresa.com,2025-02-17,Churned,2025-06-17
CLI-00134,Cliente CLI-00134,user_l-00693@empresa.com,2025-03-04,Churned,2025-08-31
CLI-00135,Cliente CLI-00135,user_l-00703@empresa.com,2025-02-17,Churned,2025-04-18
CLI-00136,Cliente CLI-00136,user_l-00705@empresa.com,2025-02-19,Churned,2025-09-17
CLI-00137,Cliente CLI-00137,user_l-00712@empresa.com,2025-03-01,Churned,2025-06-29
CLI-00138,Cliente CLI-00138,user_l-00720@empresa.com,2025-03-04,Churned,2025-08-31
CLI-00139,Cliente CLI-00139,user_l-00724@empresa.com,2025-02-21,Churned,2025-04-22
CLI-00140,Cliente CLI-00140,user_l-00729@empresa.com,2025-02-18,Churned,2025-07-18
CLI-00141,Cliente CLI-00141,user_l-00748@empresa.com,2025-03-09,Ativo,
CLI-00142,Cliente CLI-00142,user_l-00751@empresa.com,2025-03-09,Churned,2025-06-07
CLI-00143,Cliente CLI-00143,user_l-00755@empresa.com,2025-02-14,Churned,2025-06-14
CLI-00144,Cliente CLI-00144,user_l-00768@empresa.com,2025-02-21,Churned,2025-12-18
CLI-00145,Cliente CLI-00145,user_l-00769@empresa.com,2025-02-24,Churned,2025-09-22
CLI-00146,Cliente CLI-00146,user_l-00776@empresa.com,2025-03-05,Churned,2025-09-01
CLI-00147,Cliente CLI-00147,user_l-00781@empresa.com,2025-02-14,Churned,2025-09-12
CLI-00148,Cliente CLI-00148,user_l-00782@empresa.com,2025-02-13,Churned,2025-06-13
CLI-00149,Cliente CLI-00149,user_l-00792@empresa.com,2025-02-24,Churned,2025-08-23
CLI-00150,Cliente CLI-00150,user_l-00794@empresa.com,2025-02-21,Churned,2025-10-19
CLI-00151,Cliente CLI-00151,user_l-00803@empresa.com,2025-03-09,Churned,2025-05-08
CLI-00152,Cliente CLI-00152,user_l-00804@empresa.com,2025-03-05,Churned,2025-08-02
CLI-00153,Cliente CLI-00153,user_l-00809@empresa.com,2025-02-13,Churned,2025-06-13
CLI-00154,Cliente CLI-00154,user_l-00822@empresa.com,2025-02-25,Churned,2025-03-27
CLI-00155,Cliente CLI-00155,user_l-00823@empresa.com,2025-03-04,Churned,2025-08-31
CLI-00156,Cliente CLI-00156,user_l-00832@empresa.com,2025-02-27,Churned,2025-04-28
CLI-00157,Cliente CLI-00157,user_l-00846@empresa.com,2025-04-06,Churned,2025-08-04
CLI-00158,Cliente CLI-00158,user_l-00848@empresa.com,2025-03-20,Churned,2025-06-18
CLI-00159,Cliente CLI-00159,user_l-00849@empresa.com,2025-03-23,Churned,2025-08-20
CLI-00160,Cliente CLI-00160,user_l-00859@empresa.com,2025-03-17,Churned,2025-05-16
CLI-00161,Cliente CLI-00161,user_l-00862@empresa.com,2025-04-05,Churned,2025-07-04
CLI-00162,Cliente CLI-00162,user_l-00863@empresa.com,2025-03-24,Ativo,
CLI-00163,Cliente CLI-00163,user_l-00864@empresa.com,2025-04-11,Churned,2025-06-10
CLI-00164,Cliente CLI-00164,user_l-00866@empresa.com,2025-04-02,Churned,2025-09-29
CLI-00165,Cliente CLI-00165,user_l-00869@empresa.com,2025-03-21,Churned,2025-06-19
CLI-00166,Cliente CLI-00166,user_l-00872@empresa.com,2025-04-02,Churned,2025-07-01
CLI-00167,Cliente CLI-00167,user_l-00877@empresa.com,2025-03-18,Churned,2025-09-14
CLI-00168,Cliente CLI-00168,user_l-00884@empresa.com,2025-04-11,Churned,2025-10-08
CLI-00169,Cliente CLI-00169,user_l-00888@empresa.com,2025-04-02,Churned,2025-07-01
CLI-00170,Cliente CLI-00170,user_l-00898@empresa.com,2025-03-27,Churned,2025-05-26
CLI-00171,Cliente CLI-00171,user_l-00905@empresa.com,2025-03-20,Churned,2025-07-18
CLI-00172,Cliente CLI-00172,user_l-00907@empresa.com,2025-04-06,Churned,2025-10-03
CLI-00173,Cliente CLI-00173,user_l-00909@empresa.com,2025-03-16,Churned,2025-06-14
CLI-00174,Cliente CLI-00174,user_l-00912@empresa.com,2025-03-24,Churned,2025-04-23
CLI-00175,Cliente CLI-00175,user_l-00913@empresa.com,2025-03-20,Churned,2025-04-19
CLI-00176,Cliente CLI-00176,user_l-00916@empresa.com,2025-04-07,Churned,2025-12-03
CLI-00177,Cliente CLI-00177,user_l-00919@empresa.com,2025-03-21,Churned,2025-07-19
CLI-00178,Cliente CLI-00178,user_l-00921@empresa.com,2025-04-10,Churned,2025-07-09
CLI-00179,Cliente CLI-00179,user_l-00923@empresa.com,2025-04-07,Churned,2025-08-05
CLI-00180,Cliente CLI-00180,user_l-00925@empresa.com,2025-03-16,Ativo,
CLI-00181,Cliente CLI-00181,user_l-00932@empresa.com,2025-03-20,Churned,2025-11-15
CLI-00182,Cliente CLI-00182,user_l-00939@empresa.com,2025-04-08,Churned,2025-07-07
CLI-00183,Cliente CLI-00183,user_l-00944@empresa.com,2025-03-27,Churned,2025-05-26
CLI-00184,Cliente CLI-00184,user_l-00946@empresa.com,2025-03-23,Churned,2025-06-21
CLI-00185,Cliente CLI-00185,user_l-00950@empresa.com,2025-03-30,Churned,2025-05-29
CLI-00186,Cliente CLI-00186,user_l-00953@empresa.com,2025-03-21,Churned,2025-05-20
CLI-00187,Cliente CLI-00187,user_l-00955@empresa.com,2025-03-26,Churned,2025-06-24
CLI-00188,Cliente CLI-00188,user_l-00956@empresa.com,2025-03-19,Ativo,
CLI-00189,Cliente CLI-00189,user_l-00957@empresa.com,2025-03-23,Churned,2025-11-18
CLI-00190,Cliente CLI-00190,user_l-00960@empresa.com,2025-03-23,Churned,2025-05-22
CLI-00191,Cliente CLI-00191,user_l-00963@empresa.com,2025-03-28,Churned,2025-09-24
CLI-00192,Cliente CLI-00192,user_l-00975@empresa.com,2025-03-20,Ativo,
CLI-00193,Cliente CLI-00193,user_l-00986@empresa.com,2025-03-25,Churned,2025-05-24
CLI-00194,Cliente CLI-00194,user_l-00987@empresa.com,2025-04-07,Churned,2025-08-05
CLI-00195,Cliente CLI-00195,user_l-00991@empresa.com,2025-04-10,Churned,2025-09-07
CLI-00196,Cliente CLI-00196,user_l-00994@empresa.com,2025-03-26,Churned,2025-08-23
CLI-00197,Cliente CLI-00197,user_l-00996@empresa.com,2025-03-28,Ativo,
CLI-00198,Cliente CLI-00198,user_l-01001@empresa.com,2025-04-09,Ativo,
CLI-00199,Cliente CLI-00199,user_l-01005@empresa.com,2025-03-17,Churned,2025-06-15
CLI-00200,Cliente CLI-00200,user_l-01007@empresa.com,2025-04-07,Churned,2025-08-05
CLI-00201,Cliente CLI-00201,user_l-01008@empresa.com,2025-03-18,Churned,2025-08-15
CLI-00202,Cliente CLI-00202,user_l-01010@empresa.com,2025-03-27,Churned,2025-07-25
CLI-00203,Cliente CLI-00203,user_l-01017@empresa.com,2025-04-02,Churned,2025-08-30
CLI-00204,Cliente CLI-00204,user_l-01018@empresa.com,2025-04-05,Churned,2025-06-04
CLI-00205,Cliente CLI-00205,user_l-01019@empresa.com,2025-03-31,Ativo,
CLI-00206,Cliente CLI-00206,user_l-01024@empresa.com,2025-03-30,Churned,2025-11-25
CLI-00207,Cliente CLI-00207,user_l-01028@empresa.com,2025-03-20,Churned,2025-05-19
CLI-00208,Cliente CLI-00208,user_l-01033@empresa.com,2025-03-22,Churned,2025-06-20
CLI-00209,Cliente CLI-00209,user_l-01041@empresa.com,2025-03-23,Churned,2025-08-20
CLI-00210,Cliente CLI-00210,user_l-01043@empresa.com,2025-03-23,Churned,2025-07-21
CLI-00211,Cliente CLI-00211,user_l-01044@empresa.com,2025-04-06,Churned,2025-07-05
CLI-00212,Cliente CLI-00212,user_l-01045@empresa.com,2025-04-04,Churned,2025-06-03
CLI-00213,Cliente CLI-00213,user_l-01049@empresa.com,2025-03-23,Churned,2025-09-19
CLI-00214,Cliente CLI-00214,user_l-01053@empresa.com,2025-03-27,Churned,2025-06-25
CLI-00215,Cliente CLI-00215,user_l-01059@empresa.com,2025-03-18,Churned,2025-07-16
CLI-00216,Cliente CLI-00216,user_l-01065@empresa.com,2025-03-23,Churned,2025-06-21
CLI-00217,Cliente CLI-00217,user_l-01066@empresa.com,2025-04-03,Churned,2025-08-01
CLI-00218,Cliente CLI-00218,user_l-01067@empresa.com,2025-03-25,Churned,2025-05-24
CLI-00219,Cliente CLI-00219,user_l-01073@empresa.com,2025-03-27,Churned,2025-04-26
CLI-00220,Cliente CLI-00220,user_l-01080@empresa.com,2025-03-30,Churned,2025-12-25
CLI-00221,Cliente CLI-00221,user_l-01087@empresa.com,2025-03-30,Churned,2025-06-28
CLI-00222,Cliente CLI-00222,user_l-01090@empresa.com,2025-04-09,Churned,2025-06-08
CLI-00223,Cliente CLI-00223,user_l-01096@empresa.com,2025-03-27,Churned,2025-04-26
CLI-00224,Cliente CLI-00224,user_l-01102@empresa.com,2025-03-20,Churned,2025-04-19
CLI-00225,Cliente CLI-00225,user_l-01105@empresa.com,2025-04-05,Churned,2025-07-04
CLI-00226,Cliente CLI-00226,user_l-01107@empresa.com,2025-03-25,Churned,2025-07-23
CLI-00227,Cliente CLI-00227,user_l-01124@empresa.com,2025-04-10,Churned,2025-12-06
CLI-00228,Cliente CLI-00228,user_l-01126@empresa.com,2025-03-19,Ativo,
CLI-00229,Cliente CLI-00229,user_l-01127@empresa.com,2025-04-09,Churned,2025-08-07
CLI-00230,Cliente CLI-00230,user_l-01128@empresa.com,2025-03-26,Churned,2025-11-21
CLI-00231,Cliente CLI-00231,user_l-01131@empresa.com,2025-04-04,Churned,2025-10-31
CLI-00232,Cliente CLI-00232,user_l-01135@empresa.com,2025-04-04,Churned,2025-09-01
CLI-00233,Cliente CLI-00233,user_l-01137@empresa.com,2025-04-07,Churned,2025-08-05
CLI-00234,Cliente CLI-00234,user_l-01145@empresa.com,2025-03-23,Churned,2025-07-21
CLI-00235,Cliente CLI-00235,user_l-01148@empresa.com,2025-03-21,Churned,2025-09-17
CLI-00236,Cliente CLI-00236,user_l-01149@empresa.com,2025-03-16,Churned,2025-04-15
CLI-00237,Cliente CLI-00237,user_l-01151@empresa.com,2025-04-02,Churned,2025-08-30
CLI-00238,Cliente CLI-00238,user_l-01158@empresa.com,2025-04-05,Churned,2025-08-03
CLI-00239,Cliente CLI-00239,user_l-01165@empresa.com,2025-04-05,Churned,2025-07-04
CLI-00240,Cliente CLI-00240,user_l-01184@empresa.com,2025-04-04,Churned,2025-10-31
CLI-00241,Cliente CLI-00241,user_l-01185@empresa.com,2025-03-24,Churned,2025-12-19
CLI-00242,Cliente CLI-00242,user_l-01197@empresa.com,2025-03-27,Ativo,
CLI-00243,Cliente CLI-00243,user_l-01199@empresa.com,2025-04-10,Churned,2025-07-09
CLI-00244,Cliente CLI-00244,user_l-01200@empresa.com,2025-04-03,Churned,2025-08-31
CLI-00245,Cliente CLI-00245,user_l-01206@empresa.com,2025-03-17,Ativo,
CLI-00246,Cliente CLI-00246,user_l-01210@empresa.com,2025-03-17,Churned,2025-09-13
CLI-00247,Cliente CLI-00247,user_l-01213@empresa.com,2025-04-02,Churned,2025-09-29
CLI-00248,Cliente CLI-00248,user_l-01217@empresa.com,2025-05-05,Churned,2025-11-01
CLI-00249,Cliente CLI-00249,user_l-01228@empresa.com,2025-05-10,Ativo,
CLI-00250,Cliente CLI-00250,user_l-01231@empresa.com,2025-04-26,Churned,2025-08-24
CLI-00251,Cliente CLI-00251,user_l-01237@empresa.com,2025-05-01,Ativo,
CLI-00252,Cliente CLI-00252,user_l-01241@empresa.com,2025-04-30,Churned,2025-07-29
CLI-00253,Cliente CLI-00253,user_l-01243@empresa.com,2025-04-22,Churned,2025-07-21
CLI-00254,Cliente CLI-00254,user_l-01245@empresa.com,2025-05-11,Churned,2025-07-10
CLI-00255,Cliente CLI-00255,user_l-01246@empresa.com,2025-04-16,Churned,2025-07-15
CLI-00256,Cliente CLI-00256,user_l-01253@empresa.com,2025-05-05,Churned,2025-11-01
CLI-00257,Cliente CLI-00257,user_l-01254@empresa.com,2025-04-16,Churned,2025-10-13
CLI-00258,Cliente CLI-00258,user_l-01257@empresa.com,2025-04-19,Ativo,
CLI-00259,Cliente CLI-00259,user_l-01258@empresa.com,2025-04-20,Churned,2025-08-18
CLI-00260,Cliente CLI-00260,user_l-01260@empresa.com,2025-05-06,Churned,2025-10-03
CLI-00261,Cliente CLI-00261,user_l-01264@empresa.com,2025-05-03,Churned,2025-11-29
CLI-00262,Cliente CLI-00262,user_l-01275@empresa.com,2025-04-25,Churned,2025-11-21
CLI-00263,Cliente CLI-00263,user_l-01280@empresa.com,2025-05-06,Churned,2025-12-02
CLI-00264,Cliente CLI-00264,user_l-01290@empresa.com,2025-04-21,Churned,2025-11-17
CLI-00265,Cliente CLI-00265,user_l-01291@empresa.com,2025-04-16,Ativo,
CLI-00266,Cliente CLI-00266,user_l-01294@empresa.com,2025-04-15,Churned,2025-09-12
CLI-00267,Cliente CLI-00267,user_l-01296@empresa.com,2025-05-05,Churned,2025-08-03
CLI-00268,Cliente CLI-00268,user_l-01297@empresa.com,2025-04-22,Churned,2025-07-21
CLI-00269,Cliente CLI-00269,user_l-01298@empresa.com,2025-05-04,Churned,2025-08-02
CLI-00270,Cliente CLI-00270,user_l-01305@empresa.com,2025-04-29,Churned,2025-10-26
CLI-00271,Cliente CLI-00271,user_l-01307@empresa.com,2025-04-17,Churned,2025-07-16
CLI-00272,Cliente CLI-00272,user_l-01310@empresa.com,2025-05-04,Churned,2025-07-03
CLI-00273,Cliente CLI-00273,user_l-01320@empresa.com,2025-05-05,Churned,2025-12-01
CLI-00274,Cliente CLI-00274,user_l-01335@empresa.com,2025-05-08,Churned,2025-11-04
CLI-00275,Cliente CLI-00275,user_l-01337@empresa.com,2025-05-08,Churned,2025-12-04
CLI-00276,Cliente CLI-00276,user_l-01341@empresa.com,2025-05-10,Churned,2025-07-09
CLI-00277,Cliente CLI-00277,user_l-01342@empresa.com,2025-04-26,Churned,2025-09-23
CLI-00278,Cliente CLI-00278,user_l-01345@empresa.com,2025-04-17,Churned,2025-06-16
CLI-00279,Cliente CLI-00279,user_l-01351@empresa.com,2025-05-08,Churned,2025-09-05
CLI-00280,Cliente CLI-00280,user_l-01352@empresa.com,2025-05-03,Churned,2025-06-02
CLI-00281,Cliente CLI-00281,user_l-01353@empresa.com,2025-05-01,Churned,2025-06-30
CLI-00282,Cliente CLI-00282,user_l-01355@empresa.com,2025-04-28,Churned,2025-07-27
CLI-00283,Cliente CLI-00283,user_l-01368@empresa.com,2025-04-15,Churned,2025-10-12
CLI-00284,Cliente CLI-00284,user_l-01371@empresa.com,2025-04-25,Churned,2025-07-24
CLI-00285,Cliente CLI-00285,user_l-01379@empresa.com,2025-04-16,Churned,2025-11-12
CLI-00286,Cliente CLI-00286,user_l-01388@empresa.com,2025-04-21,Churned,2025-09-18
